21.9852 	INFO 	Loaded monitor calibration from ['2023_08_30 17:03']
21.9985 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
22.5532 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5570 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5606 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5646 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5685 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5716 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5755 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5802 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5828 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5856 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5908 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.5946 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6005 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6061 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6104 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6147 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6197 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6234 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6278 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6345 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6379 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6383 	DEBUG 	Uploading Texture Font fontname to graphics card
22.6603 	DEBUG 	Upload of Texture Font fontname complete
22.6696 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6738 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6776 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
22.6779 	DEBUG 	Uploading Texture Font fontname to graphics card
22.6905 	DEBUG 	Upload of Texture Font fontname complete
